id,session_id,case_id,trial_type,condition,category,initial_findings,initial_confidence,revised_findings,revised_confidence,ai_helpful,xai_helpful,xai_faithful,xai_view_selected,changed_mind,response_time_pre_ms,response_time_post_ms,bias_banner_dismissed,time_on_banner_ms,created_at,xai_overlay_finding,ground_truth,ai_preds
828d4a6c-45b5-4a05-981e-cf5ae49c691d,268d4f1b-c349-48e9-a561-7245ba9612e9,attention-check-01,attention_check,B,attention_check,"[""cardiomegaly"",""edema"",""consolidation"",""pneumothorax"",""pleural_effusion""]",52,"[""cardiomegaly"",""edema"",""consolidation"",""pneumothorax"",""pleural_effusion""]",52,64,,,,true,78097,30693,,,2026-04-22 14:59:12.912197+00,,"[""cardiomegaly""]","{""edema"":0.6,""atelectasis"":0.4,""cardiomegaly"":0.95,""pneumothorax"":0.07,""consolidation"":0.42,""pleural_effusion"":0.12}"
83408309-a090-4af1-8e53-d5deabe705d1,c441fd3a-2158-44e7-a31d-68ab29632857,fx-04,main,A,hard,"[""edema"",""cardiomegaly"",""pleural_effusion""]",85,,,,,,,,109222,,,,2026-04-23 15:53:43.834219+00,,"[""cardiomegaly"",""edema"",""consolidation"",""atelectasis"",""pleural_effusion""]","{""edema"":0.89,""atelectasis"":0.62,""cardiomegaly"":0.95,""pneumothorax"":0.04,""consolidation"":0.53,""pleural_effusion"":0.82}"
860f1fab-1ddb-4256-998e-b7e33c05a945,c441fd3a-2158-44e7-a31d-68ab29632857,fx-06,main,A,incidental,"[""cardiomegaly"",""edema"",""pleural_effusion""]",83,,,,,,,,60356,,,,2026-04-23 15:55:24.738636+00,,"[""cardiomegaly"",""edema"",""atelectasis"",""pleural_effusion"",""pneumothorax""]","{""edema"":0.92,""atelectasis"":0.56,""cardiomegaly"":0.7,""pneumothorax"":0.57,""consolidation"":0.48,""pleural_effusion"":0.93}"
874b1ea7-eeba-4ce7-96f1-8e75ea7221e7,c441fd3a-2158-44e7-a31d-68ab29632857,baseline-01,baseline,A,baseline,"[""cardiomegaly""]",95,,,,,,,,64485,,,,2026-04-23 15:37:44.719732+00,,"[""cardiomegaly""]",{}
8fcad4d9-7674-4ebd-aa00-abf173e011c9,27931682-1071-4a19-a46c-50b4a188d17f,baseline-01,baseline,A,baseline,"[""cardiomegaly"",""atelectasis""]",41,,,,,,,,38996,,,,2026-04-24 10:19:29.915689+00,,"[""cardiomegaly""]",{}
9c8f1ffe-3dc9-4edb-b37b-564cd83f29bd,c441fd3a-2158-44e7-a31d-68ab29632857,baseline-02,baseline,A,baseline,"[""pleural_effusion""]",88,,,,,,,,46172,,,,2026-04-23 15:38:44.178398+00,,"[""edema""]",{}
9dd48e34-dd71-4e12-a714-f48fc34187cb,268d4f1b-c349-48e9-a561-7245ba9612e9,fx-11,main,D,incidental,"[""cardiomegaly"",""consolidation"",""pleural_effusion"",""edema""]",55,"[""cardiomegaly"",""consolidation"",""pleural_effusion"",""edema"",""pneumothorax""]",39,58,helped,yes,original,true,45404,75728,,,2026-04-22 14:57:24.23587+00,,"[""cardiomegaly"",""edema"",""atelectasis"",""pleural_effusion"",""pneumothorax""]","{""edema"":0.54,""atelectasis"":0.52,""cardiomegaly"":0.44,""pneumothorax"":0.94,""consolidation"":0.48,""pleural_effusion"":0.35}"
9ec5458b-12df-447b-8988-376ac950ac44,c441fd3a-2158-44e7-a31d-68ab29632857,fx-07,main,B,easy,"[""consolidation""]",86,"[""consolidation""]",95,80,,,,false,81087,63861,,,2026-04-23 15:58:11.313039+00,,"[""consolidation""]","{""edema"":0.65,""atelectasis"":0.35,""cardiomegaly"":0.54,""pneumothorax"":0.12,""consolidation"":0.83,""pleural_effusion"":0.56}"
a067e5df-8200-48b4-8f27-f0379ae7b67e,27931682-1071-4a19-a46c-50b4a188d17f,baseline-03,baseline,A,baseline,"[""cardiomegaly"",""pleural_effusion""]",66,,,,,,,,26061,,,,2026-04-24 10:20:46.218742+00,,"[""pleural_effusion""]",{}
a1f6eaa2-098d-41d3-ba78-d8c4f26acf54,268d4f1b-c349-48e9-a561-7245ba9612e9,fx-09,main,C,ai_wrong,[],53,[],59,73,helped,yes,original,true,87166,112181,,,2026-04-22 14:50:40.828633+00,,[],"{""edema"":0.23,""atelectasis"":0.59,""cardiomegaly"":0.2,""pneumothorax"":0.52,""consolidation"":0.43,""pleural_effusion"":0.13}"
